1:6	"lei e xion"
1:8	seren arbazard
1:8	fiina ridia
4:1	"teo! te luna non!"
4:30	"aca baz et ne a! den dil dai!"
7:17	"tyu et... ne?"
8:9	"lala, tyu rensor to?"
8:17	"lein!"
8:20	"lein! lein!"
8:26	"lein, non et lein e!"
9:6	"xion?? sol tyu et ansiel xion?"
9:11	[][]
9:14	"hh...! mi...mipentant mil meid at xille. xom halka arik injin malia,? lua xion!"
9:17	"ep... es halka rens xe eld le te arka, lua?"
9:22	"mm... xiel, halka keles arka anmian,? mil xat fia alt"
9:27	"diin, meid sent halka mil halka mist alkat meid ansiina"
10:1	"mileev, myun yuus meid lad etek fiina halka"
10:7	"myun mist fians minan"
23:27	"mel 406"
24:2	"mitua, halka na hao kulan malia"
25:9	"al karte"
25:15	"a... meid alna vil eld halkan, lua xion. mist rens to?"
25:19	"mm? xion?"
25:22	"halka mist tor? meid ser moa miest halkan. tu et xion, ax malia?"
26:9	"tu et to?"
26:14	"pof?"
26:21	"tips!"
27:8	"ax, tu et koka tan antisse"
28:1	"ratsrats?"
28:6	"ratsrats?"
28:21	"skil"
28:24	"elen"
29:21	hat
29:29	hat
29:30	[]
30:6	hat
30:7	"ya, hat"
30:11	"aa... len"
30:13	"non at evit on lu et ansiel xion. tet tu et ilpasso mil lu alkat non siina, fien lu te lua xion"
30:15	"myun vat"
31:1	t
31:2	tes
31:3	n
31:3	nim
31:4	d
31:4	dur
31:5	h
31:5	hac
31:6	z
31:6	zom
31:7	a
31:8	aa
31:9	k
31:10	ket
31:11	v
31:11	vin
31:12	g
31:12	gat
31:13	y
31:13	yun
31:14	j
31:14	jok
31:15	i
31:16	ii
31:17	x
31:18	xal
31:19	s
31:20	sol
31:21	f
31:21	fox
31:22	m
31:22	mir
31:23	p
31:23	par
31:24	c
31:24	cuk
31:25	w
31:25	wit
31:26	o
31:27	oo
31:28	b
31:28	bel
31:29	r
31:29	rus
31:30	l
31:30	lex
31:31	e
31:32	ee
31:33	u
31:33	uu
32:4	"ilpasso? kit, tu et tes"
32:8	"alna? tu et tes"
32:10	"tes,
32:11	tes"
32:12	that
32:13	[]
32:15	ttes[:]
32:18	"ket"
32:20	"xal... sol..."
32:21	, , ,
32:24	, , ,
32:25	, , ,
32:26	,
33:3	"ya"
33:4	, , ,
33:12	j
33:27	, , , ,
34:6	"ya, tia"
34:18	xion
34:20	"ya, tu et xion"
34:21	lein"ya, tu et lein, est noan"
34:23	"kaz"
34:27	tuwetto
34:29	"a, tee, tee""tu, et, to"
34:30	"tu et to?"?
35:8	"pof!"
35:18	pof
35:19	"ya, tu et pof"
35:24	"ya tu et pof"
35:25	ya,
35:28	"tu et to?""tu et pof"
35:29	to
36:2	tuet  tu
36:3	et
36:5	tuet
36:6	et
36:7	tutuet
36:9	"tu et xion"tu
36:10	tu
36:12	"ya, tu tan et ax. tet tur, tyu rens ax non et xion"tu
36:13	non
36:14	tunon
36:17	"non et lein"
36:20	"tee, tee. sol non et lein. tyu axt hao en non tet tyu im tu"
36:21	nontyu
36:22	tyu
36:29	"tee, tee"
37:3	"tyu"
37:6	tyu
37:7	et
37:14	"in, in"
37:15	"xion, in tu sec"
37:20	"lu et papa noan. varma sete? non rens lu et en farm tet varma xalt mana e"
37:22	"vik"
37:24	"min"
37:26	"min"
38:4	minvik
38:7	"tyu xaklik tutu eks to sete"
38:9	min
38:10	non
38:11	anvik
38:13	vikanminnon
38:16	tyuti
38:17	non
38:18	tyu
38:22	"tu et to?"
38:23	"le et melk"
38:26	"tu et to? le et to? tu et to? le et to?
38:27	tu? le? tu? le?"
38:28	"en tu, le, le! yan le et papx"
